-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 05/01/2025 through 06/30/2025 in LST
Location: latitude  27.559   longitude 68.212 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 52.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_RANGE
2025,5,1,258.96,18.19
2025,5,2,230.4,16.49
2025,5,3,232.29,15.97
2025,5,4,250.17,15.16
2025,5,5,247.84,13.39
2025,5,6,254.22,13.92
2025,5,7,265.56,13.55
2025,5,8,265.28,15.05
2025,5,9,261.49,12.52
2025,5,10,282.08,13.55
2025,5,11,297.39,17.62
2025,5,12,300.41,17.15
2025,5,13,288.06,17.91
2025,5,14,298.56,16.12
2025,5,15,299.36,18.04
2025,5,16,314.95,17.43
2025,5,17,306.33,19.62
2025,5,18,274.16,18.24
2025,5,19,271.26,19.77
2025,5,20,289.8,20.23
2025,5,21,306.02,19.75
2025,5,22,305.29,20.56
2025,5,23,274.3,20.32
2025,5,24,271.02,18.18
2025,5,25,222.54,14.77
2025,5,26,214.93,11.89
2025,5,27,232.13,14.22
2025,5,28,205.82,15.28
2025,5,29,257.09,14.9
2025,5,30,264.82,16.94
2025,5,31,297.76,20.58
2025,6,1,289.7,16.55
2025,6,2,291.23,15.31
2025,6,3,260.92,17.91
2025,6,4,266.97,16.82
2025,6,5,276.71,16.0
2025,6,6,301.15,18.45
2025,6,7,312.68,16.77
2025,6,8,309.02,19.16
2025,6,9,310.46,18.29
2025,6,10,305.42,16.99
2025,6,11,299.94,16.92
2025,6,12,307.95,16.44
2025,6,13,289.06,18.1
2025,6,14,265.55,16.51
2025,6,15,243.77,12.26
2025,6,16,265.5,12.7
2025,6,17,264.93,13.3
2025,6,18,294.87,14.14
2025,6,19,283.63,15.67
2025,6,20,252.37,15.32
2025,6,21,234.51,14.82
2025,6,22,242.19,14.33
2025,6,23,229.67,14.25
2025,6,24,250.03,13.52
2025,6,25,241.33,14.56
2025,6,26,217.98,12.78
2025,6,27,188.04,6.74
2025,6,28,271.19,6.85
2025,6,29,265.57,8.31
2025,6,30,258.26,13.36
