-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2025 through 06/30/2025 in LST
Location: Latitude  27.7033   Longitude 68.8589 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,5,1,0,0.0
2025,5,1,1,0.0
2025,5,1,2,0.0
2025,5,1,3,0.0
2025,5,1,4,0.0
2025,5,1,5,0.0
2025,5,1,6,59.05
2025,5,1,7,182.8
2025,5,1,8,379.1
2025,5,1,9,595.12
2025,5,1,10,807.22
2025,5,1,11,815.6
2025,5,1,12,821.45
2025,5,1,13,820.2
2025,5,1,14,724.78
2025,5,1,15,528.78
2025,5,1,16,299.48
2025,5,1,17,150.7
2025,5,1,18,30.7
2025,5,1,19,0.0
2025,5,1,20,0.0
2025,5,1,21,0.0
2025,5,1,22,0.0
2025,5,1,23,0.0
2025,5,2,0,0.0
2025,5,2,1,0.0
2025,5,2,2,0.0
2025,5,2,3,0.0
2025,5,2,4,0.0
2025,5,2,5,0.0
2025,5,2,6,58.15
2025,5,2,7,167.2
2025,5,2,8,374.98
2025,5,2,9,542.2
2025,5,2,10,685.15
2025,5,2,11,801.03
2025,5,2,12,720.55
2025,5,2,13,589.03
2025,5,2,14,641.88
2025,5,2,15,480.5
2025,5,2,16,304.6
2025,5,2,17,136.2
2025,5,2,18,28.17
2025,5,2,19,0.0
2025,5,2,20,0.0
2025,5,2,21,0.0
2025,5,2,22,0.0
2025,5,2,23,0.0
2025,5,3,0,0.0
2025,5,3,1,0.0
2025,5,3,2,0.0
2025,5,3,3,0.0
2025,5,3,4,0.0
2025,5,3,5,0.0
2025,5,3,6,48.47
2025,5,3,7,148.68
2025,5,3,8,339.0
2025,5,3,9,539.08
2025,5,3,10,694.0
2025,5,3,11,855.97
2025,5,3,12,860.92
2025,5,3,13,669.17
2025,5,3,14,670.6
2025,5,3,15,386.7
2025,5,3,16,217.27
2025,5,3,17,117.15
2025,5,3,18,28.02
2025,5,3,19,0.0
2025,5,3,20,0.0
2025,5,3,21,0.0
2025,5,3,22,0.0
2025,5,3,23,0.0
2025,5,4,0,0.0
2025,5,4,1,0.0
2025,5,4,2,0.0
2025,5,4,3,0.0
2025,5,4,4,0.0
2025,5,4,5,0.0
2025,5,4,6,60.0
2025,5,4,7,177.32
2025,5,4,8,340.8
2025,5,4,9,516.5
2025,5,4,10,622.92
2025,5,4,11,816.42
2025,5,4,12,900.1
2025,5,4,13,669.1
2025,5,4,14,740.67
2025,5,4,15,572.62
2025,5,4,16,366.55
2025,5,4,17,182.8
2025,5,4,18,38.25
2025,5,4,19,0.0
2025,5,4,20,0.0
2025,5,4,21,0.0
2025,5,4,22,0.0
2025,5,4,23,0.0
2025,5,5,0,0.0
2025,5,5,1,0.0
2025,5,5,2,0.0
2025,5,5,3,0.0
2025,5,5,4,0.0
2025,5,5,5,0.0
2025,5,5,6,49.92
2025,5,5,7,172.23
2025,5,5,8,340.5
2025,5,5,9,538.72
2025,5,5,10,683.55
2025,5,5,11,713.67
2025,5,5,12,789.35
2025,5,5,13,756.45
2025,5,5,14,721.85
2025,5,5,15,601.47
2025,5,5,16,369.15
2025,5,5,17,174.1
2025,5,5,18,37.1
2025,5,5,19,0.0
2025,5,5,20,0.0
2025,5,5,21,0.0
2025,5,5,22,0.0
2025,5,5,23,0.0
2025,5,6,0,0.0
2025,5,6,1,0.0
2025,5,6,2,0.0
2025,5,6,3,0.0
2025,5,6,4,0.0
2025,5,6,5,0.0
2025,5,6,6,58.65
2025,5,6,7,167.82
2025,5,6,8,367.52
2025,5,6,9,534.97
2025,5,6,10,693.95
2025,5,6,11,800.85
2025,5,6,12,845.5
2025,5,6,13,814.33
2025,5,6,14,714.7
2025,5,6,15,548.22
2025,5,6,16,353.08
2025,5,6,17,165.98
2025,5,6,18,35.6
2025,5,6,19,0.0
2025,5,6,20,0.0
2025,5,6,21,0.0
2025,5,6,22,0.0
2025,5,6,23,0.0
2025,5,7,0,0.0
2025,5,7,1,0.0
2025,5,7,2,0.0
2025,5,7,3,0.0
2025,5,7,4,0.0
2025,5,7,5,0.0
2025,5,7,6,58.9
2025,5,7,7,183.93
2025,5,7,8,369.7
2025,5,7,9,568.85
2025,5,7,10,733.58
2025,5,7,11,839.7
2025,5,7,12,885.08
2025,5,7,13,845.55
2025,5,7,14,733.47
2025,5,7,15,568.25
2025,5,7,16,371.35
2025,5,7,17,176.77
2025,5,7,18,38.38
2025,5,7,19,0.0
2025,5,7,20,0.0
2025,5,7,21,0.0
2025,5,7,22,0.0
2025,5,7,23,0.0
2025,5,8,0,0.0
2025,5,8,1,0.0
2025,5,8,2,0.0
2025,5,8,3,0.0
2025,5,8,4,0.0
2025,5,8,5,0.0
2025,5,8,6,60.3
2025,5,8,7,177.9
2025,5,8,8,372.73
2025,5,8,9,601.67
2025,5,8,10,754.6
2025,5,8,11,850.42
2025,5,8,12,876.65
2025,5,8,13,821.7
2025,5,8,14,723.35
2025,5,8,15,562.1
2025,5,8,16,363.5
2025,5,8,17,165.05
2025,5,8,18,36.72
2025,5,8,19,0.0
2025,5,8,20,0.0
2025,5,8,21,0.0
2025,5,8,22,0.0
2025,5,8,23,0.0
2025,5,9,0,0.0
2025,5,9,1,0.0
2025,5,9,2,0.0
2025,5,9,3,0.0
2025,5,9,4,0.0
2025,5,9,5,0.0
2025,5,9,6,68.38
2025,5,9,7,178.85
2025,5,9,8,367.58
2025,5,9,9,561.78
2025,5,9,10,678.1
2025,5,9,11,784.35
2025,5,9,12,849.53
2025,5,9,13,822.92
2025,5,9,14,754.9
2025,5,9,15,591.75
2025,5,9,16,391.88
2025,5,9,17,184.9
