Tout_C,Gs_Wm2,winner_all5,winner_H_only
25.0,200.0,Fired clay brick,Fired clay brick
25.0,236.8421052631579,Fired clay brick,Fired clay brick
25.0,273.6842105263158,Fired clay brick,Fired clay brick
25.0,310.5263157894737,Fired clay brick,Fired clay brick
25.0,347.36842105263156,Fired clay brick,Fired clay brick
25.0,384.2105263157895,Fired clay brick,Fired clay brick
25.0,421.0526315789474,Fired clay brick,Fired clay brick
25.0,457.89473684210526,Fired clay brick,Fired clay brick
25.0,494.7368421052632,Fired clay brick,Fired clay brick
25.0,531.578947368421,Fired clay brick,Fired clay brick
25.0,568.421052631579,Fired clay brick,Fired clay brick
25.0,605.2631578947369,Fired clay brick,Fired clay brick
25.0,642.1052631578948,Fired clay brick,Fired clay brick
25.0,678.9473684210527,Fired clay brick,Fired clay brick
25.0,715.7894736842105,Fired clay brick,Fired clay brick
25.0,752.6315789473684,Fired clay brick,Fired clay brick
25.0,789.4736842105264,Fired clay brick,Fired clay brick
25.0,826.3157894736843,Lime-stabilised bamboo panel,Fired clay brick
25.0,863.1578947368422,Lime-stabilised bamboo panel,Fired clay brick
25.0,900.0,Lime-stabilised bamboo panel,Fired clay brick
26.210526315789473,200.0,Fired clay brick,Fired clay brick
26.210526315789473,236.8421052631579,Fired clay brick,Fired clay brick
26.210526315789473,273.6842105263158,Fired clay brick,Fired clay brick
26.210526315789473,310.5263157894737,Fired clay brick,Fired clay brick
26.210526315789473,347.36842105263156,Fired clay brick,Fired clay brick
26.210526315789473,384.2105263157895,Fired clay brick,Fired clay brick
26.210526315789473,421.0526315789474,Fired clay brick,Fired clay brick
26.210526315789473,457.89473684210526,Fired clay brick,Fired clay brick
26.210526315789473,494.7368421052632,Fired clay brick,Fired clay brick
26.210526315789473,531.578947368421,Fired clay brick,Fired clay brick
26.210526315789473,568.421052631579,Fired clay brick,Fired clay brick
26.210526315789473,605.2631578947369,Fired clay brick,Fired clay brick
26.210526315789473,642.1052631578948,Fired clay brick,Fired clay brick
26.210526315789473,678.9473684210527,Fired clay brick,Fired clay brick
26.210526315789473,715.7894736842105,Fired clay brick,Fired clay brick
26.210526315789473,752.6315789473684,Lime-stabilised bamboo panel,Fired clay brick
26.210526315789473,789.4736842105264,Lime-stabilised bamboo panel,Fired clay brick
26.210526315789473,826.3157894736843,Lime-stabilised bamboo panel,Fired clay brick
26.210526315789473,863.1578947368422,Lime-stabilised bamboo panel,Fired clay brick
26.210526315789473,900.0,Lime-stabilised bamboo panel,Fired clay brick
27.42105263157895,200.0,Fired clay brick,Fired clay brick
